blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics                                               25600  thrpt   25       1045.795 ±        9.643      ops/s
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·cpi                                          25600  thrpt               0.401                 clks/insn
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·gc.alloc.rate                                25600  thrpt   25          0.766 ±        0.029     MB/sec
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·gc.alloc.rate.norm                           25600  thrpt   25        806.663 ±       32.565       B/op
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·gc.count                                     25600  thrpt   25            ≈ 0                    counts
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·ipc                                          25600  thrpt               2.492                 insns/clk
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·perf                                         25600  thrpt                 NaN                       ---
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·stack                                        25600  thrpt                 NaN                       ---
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics                                              256000  thrpt   25        109.905 ±        4.412      ops/s
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·cpi                                         256000  thrpt               0.389                 clks/insn
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·gc.alloc.rate                               256000  thrpt   25          0.762 ±        0.029     MB/sec
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·gc.alloc.rate.norm                          256000  thrpt   25       7659.659 ±      441.414       B/op
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·gc.count                                    256000  thrpt   25            ≈ 0                    counts
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·ipc                                         256000  thrpt               2.571                 insns/clk
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·perf                                        256000  thrpt                 NaN                       ---
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics:·stack                                       256000  thrpt                 NaN                       ---
blackScholes.TestJavaPerf.testScalarPerformanceWithZGCDifferentInlingMetrics                                             2560000  thrpt   25         10.681 ±        0.444      ops/s
